17-0040,18-05-2017,N138198,A2131_17-x,2500
17-0040,18-05-2017,N138198,A2131_17-y,2500
17-0040,18-05-2017,N138198,A2031_17-x,2500
17-0040,18-05-2017,N500903,A2132_17-x,600
17-0040,18-05-2017,616-33005,A2133_17-x,800
