"17-0172M","2017-07-06","17EP0010M","R. K. Polymer","EPDM","Vistalon 3666","17/008","2017-07-05","172.500","176.19","30392.75","2735.00","2735.00","0.00","300.00","400.00","35862.75","N.A","2018-07-06","1765",
"17-0174M","2017-07-05","17EP0008M","South India Rubber and Chemicals","Silicon 40","HV3-422","17-0056","2017-07-05","40.000","338.99","13559.60","1220.00","1220.00","0.00","0.00","300.00","15999.60","N.A","2018-07-07","8901",
